ZONA;SEXE;ANY;MES;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
43150;2;1989;J;38,31174681;46,62363459;68,50538657;54,54898948;43,65058268;51,37718328;47,25742222;53,44594193;53,83585157;44,40760278;43,11249388;54,78446791;65,59079785;71,81271227;64,71017302;44,83507445;36,24171898;26,81979931
43150;2;1990;J;36,41287782;40,50288277;67,30074455;58,47609338;41,18070502;52,47233878;46,07004058;54,42213211;53,36605542;47,67665626;40,55869013;51,06074178;65,14486883;70,33862421;68,3001453;45,599568;36,12899387;28,31039972
43150;2;1991;J;34,36522282;36,85002626;62,90948533;61,59760065;41,00567121;52,91576911;46,32266628;54,09660754;51,38981318;49,07040716;39,04006069;48,34472357;64,26043643;67,20626048;73,29817435;46,26956337;36,50145609;28,31373956
43150;2;1992;J;33,48610132;34,51588606;57,47118028;62,49632682;43,82572232;52,05703606;49,37360361;52,38072809;50,45193653;51,08672767;36,35591638;47,0373228;61,88836688;65,61150546;73,44406428;48,41183877;38,26226918;28,43857567
43150;2;1993;J;32,40270776;33,3027987;51,16080491;63,57850647;47,33351846;50,92321652;51,78785279;50,62585501;49,0628192;53,63394145;36,18166727;45,59172595;57,08701914;66,93889352;71,61347862;51,52653883;39,41237358;29,84356831
43150;2;1994;J;31,48359526;32,86723684;44,1981593;64,24114225;51,78757293;49,78223842;53,59829369;48,36843892;47,83177174;55,88761961;39,50083;42,08166405;51,69439864;68,50701332;69,29718724;55,47308772;39,95461636;31,16291573
43150;2;1995;J;33,27062528;30,81327107;39,06012966;63,26615666;56,37340597;48,02448211;55,13981981;46,77087222;48,09475343;55,54400345;41,62210147;39,41921944;47,99178889;68,02231005;67,20174005;59,99906077;38,77177126;31,26771139
43150;2;1996;J;34,22669246;30,00133419;35,703717;60,43041385;60,61963665;47,76255277;56,33950726;46,78429102;47,59451534;53,91054011;42,63300259;38,48867415;45,0700513;66,97625449;63,73494327;67,50304658;37,72036107;30,82577045
43150;2;1997;J;34,62450032;32,87648247;34,71960814;57,78232856;62,19073597;50,16163526;54,73724186;50,84143963;47,58989899;53,06787841;46,29232704;37,13569128;45,09560454;63,65450046;62,00915202;68,90411422;39,0562727;33,39698632
43150;2;1998;J;35,81689233;34,40914577;34,12696962;54,02455898;64,30338089;52,32686433;53,47521638;53,0282722;48,46890614;51,19717934;50,55951624;38,31622312;44,15565628;57,83814747;62,38470567;67,9361459;41,16400264;36,06289152
43150;2;1999;J;36,51411992;35,4445771;34,78061665;49,53105778;66,25358343;53,49571369;51,89957115;54,66748068;49,05818533;48,78766107;54,58284272;43,25954905;41,42737272;51,41050227;62,96243672;66,9108898;44,18396646;38,02756037
43150;2;2000;J;36,67672469;39,24909818;33,75256513;46,07242435;66,79074963;55,67799753;50,52189203;55,83065411;50,57604993;48,24169964;56,43815366;46,79391438;39,79743272;46,53715292;61,80725928;66,54834345;47,17942392;39,68109468
43150;2;2001;J;38,67105093;43,18182649;33,70133133;43,8867845;66,07659896;61,50380233;50,01511732;57,14387411;52,93429812;46,67006514;57,93021485;48,68978328;38,92352506;43,24847129;60,24227048;65,48590735;52,61892873;40,62240503
43150;2;2002;J;36,77986907;44,77886492;35,10010105;41,01913315;63,3219892;65,22413358;47,44172335;57,48801367;54,21343131;46,71253071;57,39835697;49,15997989;38,0855222;44,40286549;58,57570214;62,66476956;53,43231508;42,13888345
43150;2;2003;J;31,19448991;46,35414894;34,95553871;38,99505402;57,45623342;66,27376052;44,71155473;58,14140881;52,97484885;48,41769042;53,2829956;49,83789262;40,53846154;46,39657945;54,64294474;60,56493137;51,79410943;43,38873213
43150;2;2004;J;25,31880252;46,33947499;34,80833462;39,72221143;50,19815757;69,19016908;47,18170542;50,90687723;54,81750116;49,25512164;48,85573374;52,83353978;47,82208129;45,31897523;49,50676966;59,55947137;50,34724154;46,93771138
43150;2;2005;J;23,60663866;43,06401922;37,70093866;39,10839663;44,7058446;73,1141704;52,56021865;39,04262965;60,86897448;47,88396326;49,27191257;54,19170679;51,93825946;44,625;46,75289544;55,57009275;53,55150675;47,90265603
43150;2;2006;J;23,73850746;38,56634301;39,74117232;36,35314738;45,47754236;74,11356631;54,94294564;37,39747139;61,29041687;53,32379961;45,87790505;57,24351725;52,18706558;41,93867578;45,27469006;54,12516398;56,79355278;45,89263668
43150;2;2007;J;23,20385956;34,16415886;42,95091324;36,57387311;48,65470376;70,82129278;61,52485935;40,7413273;56,09045439;60,89428783;43,10276358;59,51605948;53,65295996;39,84782528;42,52143259;57,2467997;51,2638111;51,38848949
43150;2;2008;J;24,90517976;31,90184049;45,99488183;34,56978357;45,97662432;67,82384632;69,0916315;42,31633486;55,60827251;57,90081557;46,24296241;54,30771371;53,45937962;43,14592961;43,59401409;54,62620482;47,6095289;58,44908266
43150;2;2009;J;27,18446305;26,95661515;46,39873567;34,2044566;41,39057093;61,05614923;68,14504039;51,17433698;52,84285978;56,52137169;47,97131822;50,01760244;54,40453297;50,76650476;45,22764965;48,52828813;48,523772;59,1009139
43150;2;2010;J;29,20543093;25,33527607;45,62992352;38,47022321;39,91083436;52,94161064;65,18548948;61,71465619;46,31438268;60,11114964;49,78514358;47,61366629;57,90232311;55,55180932;43,68560588;44,69563886;47,85315925;59,18420092
43150;2;2011;J;29,30388465;31,7273472;43,42424242;40,38667619;37,78231269;49,23172363;65,32741217;65,68715495;44,61775444;64,82196088;52,39396343;44,20787023;63,85114885;53,67118955;42,6882724;42,86488428;46,52385558;59,4850703
43151;0;1981;J;3,737362448;6,848565306;4,018689137;2,986361835;7,581610447;2,211948531;4,777089328;4,057766687;2,118656748;1,138694669;9,461591105;11,17838321;4,596045598;5,109326354;3,120920899;5,79025312;1,210177015;1,786403086
